epreuve,nbcoureurs,Bonnamour,Bouet,Corbel,Daniel,Delaplace,Feillu,Fonseca,Gerard,Gesbert,Hardy,Jarrier,Jeannesson,Ledanois,McLay,Mourey,Perichon,Pichon,Sepulveda,Vachon,Vallée
Trofeo Palma,127,119,0,0,0,0,0,0,91,0,0,76,0,89,1,0,86,84,0,0,35
la marseillaise,108,0,2,0,0,26,55,74,0,0,15,0,27,0,0,0,0,0,0,50,0
Etoile de Bessèges,122,0,0,0,113,36,0,45,0,0,10,0,12,0,74,0,0,0,0,0,0
Tour du Haut Var-matin,111,110,14,0,0,30,50,0,0,0,3,0,9,0,0,0,82,0,0,45,0
Tour La Provence,119,0,10,0,0,0,28,26,94,0,0,86,0,0,0,0,0,22,23,0,0
Royal Bernard Drome Classic,92,0,0,0,0,26,68,51,74,0,7,0,20,0,0,0,0,30,0,0,0
Ronde van Drenthe,94,15,0,70,0,49,0,30,0,0,0,31,0,0,0,0,0,0,0,0,0
Tour de Normandie,109,0,0,104,0,1,0,0,0,82,0,9,0,0,0,86,0,0,0,0,40
Route Adélie,86,0,0,0,0,44,0,9,0,50,16,49,0,0,0,54,0,1,0,33,0
Roue Tourangelle,124,64,0,25,0,2,0,62,49,0,0,0,0,0,33,83,0,0,0,68,0
ronde de l’oise,89,0,0,20,34,0,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0
tour de savoie,61,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,37,0
