epreuve,nbcoureurs,BARDET_Romain,BAKELANTS_Jan,DOMONT_Axel,FRANK_Mathias,GASTAUER_Ben,GAUTIER_Cyril,LATOUR_Pierre-Roger,NAESEN_Oliver,VUILLERMOZ_Alexis
1,198,63,99,127,104,119,169,17,126,90
2,198,56,88,188,93,108,140,16,115,80
3,198,24,48,190,46,97,108,6,88,39
4,198,23,47,189,45,94,104,5,86,38
5,198,7,42,184,27,70,74,12,68,34
6,198,7,41,182,27,68,71,12,67,34
7,198,7,41,182,27,65,69,12,64,34
8,198,7,41,114,36,66,69,12,64,30
9,198,3,24,81,45,44,67,13,64,17
10,198,3,24,78,44,43,64,13,62,17
11,198,3,24,77,44,43,64,13,62,17
12,198,3,25,62,43,45,49,13,58,15
13,198,3,27,64,42,36,48,13,59,16
14,198,3,26,59,38,33,44,12,54,16
15,198,3,25,61,38,36,41,14,58,16
16,198,3,24,64,35,33,51,13,53,14
17,198,3,25,68,29,34,46,22,62,13
18,198,2,24,68,29,35,46,25,63,14
19,198,2,22,68,30,37,47,26,64,14
20,198,0,0,0,0,0,0,0,0,0
21,198,0,0,0,0,0,0,0,0,0
