epreuve,nbcoureurs,FEILLU_Brice,PICHON_Laurent,BOUET_Maxime,PERICHON_Pierre-Luc,MC_LAY_DANIEL,VACHON_Florian,HARDY_Romain,GESBERT_Elie,SEPULVEDA_Eduardo
1,198,148,163,97,83,114,130,173,138,105
2,198,126,181,86,74,103,166,144,168,94
3,198,56,168,50,120,126,130,110,80,69
4,198,55,165,49,113,119,123,150,78,69
5,198,33,171,44,83,161,138,65,49,37
6,198,33,176,43,93,153,131,62,58,37
7,198,33,171,48,108,152,131,61,58,37
8,198,29,142,63,101,166,115,35,116,31
9,198,20,147,63,95,165,103,42,104,34
10,198,20,145,61,93,163,100,42,109,36
11,198,20,148,61,91,160,98,42,104,37
12,198,20,124,51,75,168,99,37,103,52
13,198,20,121,44,62,167,98,34,104,54
14,198,20,111,42,57,175,98,30,116,64
15,198,19,115,49,46,175,98,29,110,70
16,198,19,139,47,42,173,107,28,99,69
17,198,16,138,51,45,0,109,31,100,70
18,198,16,126,53,51,0,104,30,98,65
19,198,16,125,55,43,0,105,27,87,67
20,198,0,0,0,0,0,0,0,0,0
21,198,0,0,0,0,0,0,0,0,0
